,class_ids,classes,logistic,logits,probabilities
1126,[0],[b'0'],[0.],[-32738.28],[1. 0.]
1127,[0],[b'0'],[0.],[-33921.652],[1. 0.]
1128,[0],[b'0'],[0.],[-33036.715],[1. 0.]
1129,[0],[b'0'],[0.],[-29936.045],[1. 0.]
1130,[0],[b'0'],[0.],[-32286.205],[1. 0.]
1131,[0],[b'0'],[0.],[-30795.576],[1. 0.]
1132,[0],[b'0'],[0.],[-32623.105],[1. 0.]
1133,[0],[b'0'],[0.],[-31689.938],[1. 0.]
1134,[0],[b'0'],[0.],[-29380.6],[1. 0.]
1135,[0],[b'0'],[0.],[-29774.594],[1. 0.]
1136,[0],[b'0'],[0.],[-31880.08],[1. 0.]
1137,[0],[b'0'],[0.],[-33161.21],[1. 0.]
1138,[0],[b'0'],[0.],[-33513.316],[1. 0.]
1139,[0],[b'0'],[0.],[-32720.328],[1. 0.]
1140,[0],[b'0'],[0.],[-31872.963],[1. 0.]
1141,[0],[b'0'],[0.],[-33445.336],[1. 0.]
1142,[0],[b'0'],[0.],[-32206.467],[1. 0.]
1143,[0],[b'0'],[0.],[-29226.348],[1. 0.]
1144,[0],[b'0'],[0.],[-31519.637],[1. 0.]
1145,[0],[b'0'],[0.],[-30714.592],[1. 0.]
1146,[0],[b'0'],[0.],[-31574.746],[1. 0.]
1147,[0],[b'0'],[0.],[-32402.648],[1. 0.]
1148,[0],[b'0'],[0.],[-30556.443],[1. 0.]
1149,[0],[b'0'],[0.],[-32602.922],[1. 0.]
1150,[0],[b'0'],[0.],[-33203.164],[1. 0.]
1151,[0],[b'0'],[0.],[-35717.97],[1. 0.]
1152,[0],[b'0'],[0.],[-32238.396],[1. 0.]
1153,[0],[b'0'],[0.],[-33068.457],[1. 0.]
1154,[0],[b'0'],[0.],[-31833.248],[1. 0.]
1155,[0],[b'0'],[0.],[-29131.545],[1. 0.]
1156,[0],[b'0'],[0.],[-33208.61],[1. 0.]
1157,[0],[b'0'],[0.],[-30425.455],[1. 0.]
1158,[0],[b'0'],[0.],[-29400.938],[1. 0.]
1159,[0],[b'0'],[0.],[-32491.795],[1. 0.]
1160,[0],[b'0'],[0.],[-31408.129],[1. 0.]
1161,[0],[b'0'],[0.],[-32374.256],[1. 0.]
1162,[0],[b'0'],[0.],[-33298.61],[1. 0.]
1163,[0],[b'0'],[0.],[-30996.03],[1. 0.]
1164,[0],[b'0'],[0.],[-30874.486],[1. 0.]
1165,[0],[b'0'],[0.],[-33171.793],[1. 0.]
1166,[0],[b'0'],[0.],[-31718.953],[1. 0.]
1167,[0],[b'0'],[0.],[-30903.41],[1. 0.]
1168,[0],[b'0'],[0.],[-31506.771],[1. 0.]
1169,[0],[b'0'],[0.],[-32425.521],[1. 0.]
1170,[0],[b'0'],[0.],[-32892.184],[1. 0.]
1171,[0],[b'0'],[0.],[-33224.344],[1. 0.]
1172,[0],[b'0'],[0.],[-32275.316],[1. 0.]
1173,[0],[b'0'],[0.],[-29202.758],[1. 0.]
1174,[0],[b'0'],[0.],[-33937.445],[1. 0.]
1175,[0],[b'0'],[0.],[-31747.469],[1. 0.]
1176,[0],[b'0'],[0.],[-33377.92],[1. 0.]
1177,[0],[b'0'],[0.],[-35235.734],[1. 0.]
1178,[0],[b'0'],[0.],[-29910.996],[1. 0.]
1179,[0],[b'0'],[0.],[-31156.82],[1. 0.]
1180,[0],[b'0'],[0.],[-32988.008],[1. 0.]
1181,[0],[b'0'],[0.],[-34719.96],[1. 0.]
1182,[0],[b'0'],[0.],[-28496.703],[1. 0.]
1183,[0],[b'0'],[0.],[-31827.85],[1. 0.]
1184,[0],[b'0'],[0.],[-31828.61],[1. 0.]
1185,[0],[b'0'],[0.],[-31985.014],[1. 0.]
1186,[0],[b'0'],[0.],[-31441.521],[1. 0.]
1187,[0],[b'0'],[0.],[-31586.752],[1. 0.]
1188,[0],[b'0'],[0.],[-31789.426],[1. 0.]
1189,[0],[b'0'],[0.],[-30745.76],[1. 0.]
1190,[0],[b'0'],[0.],[-32473.396],[1. 0.]
1191,[0],[b'0'],[0.],[-33787.887],[1. 0.]
1192,[0],[b'0'],[0.],[-32167.254],[1. 0.]
1193,[0],[b'0'],[0.],[-32325.863],[1. 0.]
1194,[0],[b'0'],[0.],[-34377.402],[1. 0.]
1195,[0],[b'0'],[0.],[-31868.04],[1. 0.]
1196,[0],[b'0'],[0.],[-34657.69],[1. 0.]
1197,[0],[b'0'],[0.],[-32551.123],[1. 0.]
1198,[0],[b'0'],[0.],[-32265.973],[1. 0.]
1199,[0],[b'0'],[0.],[-30319.639],[1. 0.]
1200,[0],[b'0'],[0.],[-32459.125],[1. 0.]
1201,[0],[b'0'],[0.],[-31345.164],[1. 0.]
1202,[0],[b'0'],[0.],[-31492.521],[1. 0.]
1203,[0],[b'0'],[0.],[-33666.96],[1. 0.]
1204,[0],[b'0'],[0.],[-32375.742],[1. 0.]
1205,[0],[b'0'],[0.],[-31794.924],[1. 0.]
1206,[0],[b'0'],[0.],[-33052.96],[1. 0.]
1207,[0],[b'0'],[0.],[-29762.242],[1. 0.]
1208,[0],[b'0'],[0.],[-29720.58],[1. 0.]
1209,[0],[b'0'],[0.],[-32769.754],[1. 0.]
1210,[0],[b'0'],[0.],[-30264.523],[1. 0.]
1211,[0],[b'0'],[0.],[-30631.057],[1. 0.]
1212,[0],[b'0'],[0.],[-32585.902],[1. 0.]
1213,[0],[b'0'],[0.],[-39046.46],[1. 0.]
1214,[0],[b'0'],[0.],[-32678.36],[1. 0.]
1215,[0],[b'0'],[0.],[-32217.22],[1. 0.]
1216,[0],[b'0'],[0.],[-35097.387],[1. 0.]
1217,[0],[b'0'],[0.],[-31825.781],[1. 0.]
1218,[0],[b'0'],[0.],[-32319.73],[1. 0.]
1219,[0],[b'0'],[0.],[-30843.951],[1. 0.]
1220,[0],[b'0'],[0.],[-31808.96],[1. 0.]
1221,[0],[b'0'],[0.],[-33063.332],[1. 0.]
1222,[0],[b'0'],[0.],[-32514.035],[1. 0.]
1223,[0],[b'0'],[0.],[-31747.303],[1. 0.]
1224,[0],[b'0'],[0.],[-33934.46],[1. 0.]
1225,[0],[b'0'],[0.],[-32752.658],[1. 0.]
1226,[0],[b'0'],[0.],[-30179.316],[1. 0.]
1227,[0],[b'0'],[0.],[-32707.537],[1. 0.]
1228,[0],[b'0'],[0.],[-31370.648],[1. 0.]
1229,[0],[b'0'],[0.],[-31526.803],[1. 0.]
1230,[0],[b'0'],[0.],[-31288.281],[1. 0.]
1231,[0],[b'0'],[0.],[-30252.562],[1. 0.]
1232,[0],[b'0'],[0.],[-32343.002],[1. 0.]
1233,[0],[b'0'],[0.],[-31497.025],[1. 0.]
1234,[0],[b'0'],[0.],[-30964.164],[1. 0.]
1235,[0],[b'0'],[0.],[-29992.428],[1. 0.]
1236,[0],[b'0'],[0.],[-31296.559],[1. 0.]
1237,[0],[b'0'],[0.],[-31134.004],[1. 0.]
1238,[0],[b'0'],[0.],[-30173.69],[1. 0.]
1239,[0],[b'0'],[0.],[-32903.69],[1. 0.]
1240,[0],[b'0'],[0.],[-31129.422],[1. 0.]
1241,[0],[b'0'],[0.],[-30568.09],[1. 0.]
1242,[0],[b'0'],[0.],[-32867.105],[1. 0.]
1243,[0],[b'0'],[0.],[-31860.934],[1. 0.]
1244,[0],[b'0'],[0.],[-32547.797],[1. 0.]
1245,[0],[b'0'],[0.],[-31709.652],[1. 0.]
1246,[0],[b'0'],[0.],[-32787.938],[1. 0.]
1247,[0],[b'0'],[0.],[-31481.668],[1. 0.]
1248,[0],[b'0'],[0.],[-30223.799],[1. 0.]
1249,[0],[b'0'],[0.],[-32318.057],[1. 0.]
1250,[0],[b'0'],[0.],[-29953.383],[1. 0.]
1251,[0],[b'0'],[0.],[-31363.367],[1. 0.]
1252,[0],[b'0'],[0.],[-29078.668],[1. 0.]
1253,[0],[b'0'],[0.],[-32426.793],[1. 0.]
1254,[0],[b'0'],[0.],[-33811.676],[1. 0.]
1255,[0],[b'0'],[0.],[-37618.625],[1. 0.]
1256,[0],[b'0'],[0.],[-32488.13],[1. 0.]
1257,[0],[b'0'],[0.],[-32877.152],[1. 0.]
1258,[1],[b'1'],[1.],[5145.0366],[0. 1.]
1259,[0],[b'0'],[0.],[-30710.709],[1. 0.]
1260,[0],[b'0'],[0.],[-28067.879],[1. 0.]
1261,[0],[b'0'],[0.],[-34476.062],[1. 0.]
1262,[0],[b'0'],[0.],[-32153.08],[1. 0.]
1263,[0],[b'0'],[0.],[-32937.082],[1. 0.]
1264,[0],[b'0'],[0.],[-29453.932],[1. 0.]
1265,[0],[b'0'],[0.],[-32528.195],[1. 0.]
1266,[0],[b'0'],[0.],[-33112.184],[1. 0.]
1267,[0],[b'0'],[0.],[-31266.254],[1. 0.]
1268,[0],[b'0'],[0.],[-29027.51],[1. 0.]
1269,[0],[b'0'],[0.],[-30890.523],[1. 0.]
1270,[0],[b'0'],[0.],[-31071.4],[1. 0.]
1271,[0],[b'0'],[0.],[-30410.209],[1. 0.]
1272,[0],[b'0'],[0.],[-33422.8],[1. 0.]
1273,[0],[b'0'],[0.],[-29861.57],[1. 0.]
1274,[0],[b'0'],[0.],[-32474.746],[1. 0.]
1275,[0],[b'0'],[0.],[-31629.645],[1. 0.]
1276,[0],[b'0'],[0.],[-31763.303],[1. 0.]
1277,[0],[b'0'],[0.],[-30558.871],[1. 0.]
1278,[0],[b'0'],[0.],[-33214.7],[1. 0.]
1279,[0],[b'0'],[0.],[-32731.85],[1. 0.]
1280,[0],[b'0'],[0.],[-31408.771],[1. 0.]
1281,[0],[b'0'],[0.],[-31152.59],[1. 0.]
1282,[0],[b'0'],[0.],[-32386.113],[1. 0.]
1283,[0],[b'0'],[0.],[-33656.918],[1. 0.]
1284,[0],[b'0'],[0.],[-32973.13],[1. 0.]
1285,[0],[b'0'],[0.],[-31934.701],[1. 0.]
1286,[0],[b'0'],[0.],[-30772.62],[1. 0.]
1287,[0],[b'0'],[0.],[-31653.104],[1. 0.]
1288,[0],[b'0'],[0.],[-30340.396],[1. 0.]
1289,[0],[b'0'],[0.],[-32734.318],[1. 0.]
1290,[0],[b'0'],[0.],[-31689.635],[1. 0.]
1291,[0],[b'0'],[0.],[-30589.895],[1. 0.]
1292,[0],[b'0'],[0.],[-31877.68],[1. 0.]
1293,[0],[b'0'],[0.],[-30229.93],[1. 0.]
1294,[0],[b'0'],[0.],[-32760.617],[1. 0.]
1295,[0],[b'0'],[0.],[-30707.02],[1. 0.]
1296,[0],[b'0'],[0.],[-31750.973],[1. 0.]
1297,[0],[b'0'],[0.],[-29870.572],[1. 0.]
1298,[0],[b'0'],[0.],[-31478.16],[1. 0.]
1299,[0],[b'0'],[0.],[-32194.883],[1. 0.]
1300,[0],[b'0'],[0.],[-31629.293],[1. 0.]
1301,[0],[b'0'],[0.],[-33508.562],[1. 0.]
1302,[0],[b'0'],[0.],[-32790.86],[1. 0.]
1303,[0],[b'0'],[0.],[-34215.39],[1. 0.]
1304,[0],[b'0'],[0.],[-33897.125],[1. 0.]
1305,[0],[b'0'],[0.],[-31267.846],[1. 0.]
1306,[0],[b'0'],[0.],[-32227.092],[1. 0.]
1307,[0],[b'0'],[0.],[-32106.023],[1. 0.]
1308,[0],[b'0'],[0.],[-31758.41],[1. 0.]
1309,[0],[b'0'],[0.],[-30541.365],[1. 0.]
1310,[0],[b'0'],[0.],[-30092.217],[1. 0.]
1311,[0],[b'0'],[0.],[-32248.264],[1. 0.]
1312,[0],[b'0'],[0.],[-32855.91],[1. 0.]
1313,[0],[b'0'],[0.],[-31384.146],[1. 0.]
1314,[0],[b'0'],[0.],[-32633.033],[1. 0.]
1315,[0],[b'0'],[0.],[-31588.059],[1. 0.]
1316,[0],[b'0'],[0.],[-32446.25],[1. 0.]
1317,[0],[b'0'],[0.],[-30439.059],[1. 0.]
1318,[0],[b'0'],[0.],[-30948.365],[1. 0.]
1319,[0],[b'0'],[0.],[-30996.42],[1. 0.]
1320,[0],[b'0'],[0.],[-30884.85],[1. 0.]
1321,[0],[b'0'],[0.],[-31784.71],[1. 0.]
1322,[0],[b'0'],[0.],[-31142.307],[1. 0.]
1323,[0],[b'0'],[0.],[-32267.412],[1. 0.]
1324,[0],[b'0'],[0.],[-30195.93],[1. 0.]
1325,[0],[b'0'],[0.],[-31107.7],[1. 0.]
1326,[0],[b'0'],[0.],[-34599.254],[1. 0.]
1327,[0],[b'0'],[0.],[-34183.516],[1. 0.]
1328,[0],[b'0'],[0.],[-31324.69],[1. 0.]
1329,[0],[b'0'],[0.],[-30193.652],[1. 0.]
1330,[0],[b'0'],[0.],[-30715.443],[1. 0.]
1331,[0],[b'0'],[0.],[-31574.438],[1. 0.]
1332,[0],[b'0'],[0.],[-32537.205],[1. 0.]
1333,[0],[b'0'],[0.],[-31634.943],[1. 0.]
1334,[0],[b'0'],[0.],[-33265.645],[1. 0.]
1335,[0],[b'0'],[0.],[-30528.902],[1. 0.]
1336,[0],[b'0'],[0.],[-32936.117],[1. 0.]
1337,[0],[b'0'],[0.],[-30169.799],[1. 0.]
1338,[0],[b'0'],[0.],[-31974.086],[1. 0.]
1339,[0],[b'0'],[0.],[-29759.627],[1. 0.]
1340,[0],[b'0'],[0.],[-31021.555],[1. 0.]
1341,[0],[b'0'],[0.],[-36590.867],[1. 0.]
1342,[0],[b'0'],[0.],[-30423.45],[1. 0.]
1343,[0],[b'0'],[0.],[-32449.783],[1. 0.]
1344,[0],[b'0'],[0.],[-32627.068],[1. 0.]
1345,[0],[b'0'],[0.],[-31297.832],[1. 0.]
1346,[0],[b'0'],[0.],[-31595.521],[1. 0.]
1347,[0],[b'0'],[0.],[-32628.516],[1. 0.]
1348,[0],[b'0'],[0.],[-32363.225],[1. 0.]
1349,[1],[b'1'],[1.],[5594.8784],[0. 1.]
1350,[0],[b'0'],[0.],[-29656.791],[1. 0.]
1351,[0],[b'0'],[0.],[-28320.053],[1. 0.]
1352,[0],[b'0'],[0.],[-30811.756],[1. 0.]
1353,[0],[b'0'],[0.],[-33291.41],[1. 0.]
1354,[0],[b'0'],[0.],[-30260.973],[1. 0.]
1355,[0],[b'0'],[0.],[-34747.023],[1. 0.]
1356,[0],[b'0'],[0.],[-29498.57],[1. 0.]
1357,[0],[b'0'],[0.],[-30492.736],[1. 0.]
1358,[0],[b'0'],[0.],[-32598.941],[1. 0.]
1359,[0],[b'0'],[0.],[-32440.395],[1. 0.]
1360,[0],[b'0'],[0.],[-32284.],[1. 0.]
1361,[0],[b'0'],[0.],[-32533.97],[1. 0.]
1362,[0],[b'0'],[0.],[-30364.512],[1. 0.]
1363,[0],[b'0'],[0.],[-30976.773],[1. 0.]
1364,[0],[b'0'],[0.],[-32283.725],[1. 0.]
1365,[0],[b'0'],[0.],[-29359.055],[1. 0.]
1366,[0],[b'0'],[0.],[-31241.936],[1. 0.]
1367,[0],[b'0'],[0.],[-32945.004],[1. 0.]
1368,[0],[b'0'],[0.],[-33469.36],[1. 0.]
1369,[0],[b'0'],[0.],[-30977.273],[1. 0.]
1370,[0],[b'0'],[0.],[-32528.797],[1. 0.]
1371,[0],[b'0'],[0.],[-30458.117],[1. 0.]
1372,[0],[b'0'],[0.],[-32387.314],[1. 0.]
1373,[0],[b'0'],[0.],[-31385.959],[1. 0.]
1374,[0],[b'0'],[0.],[-32615.986],[1. 0.]
1375,[0],[b'0'],[0.],[-31347.348],[1. 0.]
1376,[0],[b'0'],[0.],[-30296.143],[1. 0.]
1377,[0],[b'0'],[0.],[-32569.662],[1. 0.]
1378,[0],[b'0'],[0.],[-31590.154],[1. 0.]
1379,[0],[b'0'],[0.],[-30629.986],[1. 0.]
1380,[0],[b'0'],[0.],[-31377.79],[1. 0.]
1381,[0],[b'0'],[0.],[-32823.625],[1. 0.]
1382,[1],[b'1'],[1.],[4429.8687],[0. 1.]
1383,[0],[b'0'],[0.],[-34426.24],[1. 0.]
1384,[0],[b'0'],[0.],[-33138.613],[1. 0.]
1385,[0],[b'0'],[0.],[-36134.17],[1. 0.]
1386,[0],[b'0'],[0.],[-33328.918],[1. 0.]
1387,[0],[b'0'],[0.],[-33720.164],[1. 0.]
1388,[0],[b'0'],[0.],[-30464.396],[1. 0.]
1389,[0],[b'0'],[0.],[-30725.533],[1. 0.]
1390,[0],[b'0'],[0.],[-32906.39],[1. 0.]
1391,[0],[b'0'],[0.],[-32654.463],[1. 0.]
1392,[0],[b'0'],[0.],[-30199.148],[1. 0.]
1393,[0],[b'0'],[0.],[-34520.832],[1. 0.]
1394,[0],[b'0'],[0.],[-31003.777],[1. 0.]
1395,[0],[b'0'],[0.],[-31601.057],[1. 0.]
1396,[0],[b'0'],[0.],[-32549.795],[1. 0.]
1397,[0],[b'0'],[0.],[-31772.424],[1. 0.]
1398,[0],[b'0'],[0.],[-29016.113],[1. 0.]
1399,[0],[b'0'],[0.],[-32963.586],[1. 0.]
1400,[0],[b'0'],[0.],[-30469.033],[1. 0.]
1401,[0],[b'0'],[0.],[-29853.678],[1. 0.]
1402,[0],[b'0'],[0.],[-29726.674],[1. 0.]
1403,[0],[b'0'],[0.],[-28697.406],[1. 0.]
1404,[0],[b'0'],[0.],[-31131.375],[1. 0.]
1405,[0],[b'0'],[0.],[-30263.678],[1. 0.]
1406,[0],[b'0'],[0.],[-35569.902],[1. 0.]
1407,[0],[b'0'],[0.],[-33542.242],[1. 0.]
1408,[0],[b'0'],[0.],[-31635.256],[1. 0.]
1409,[0],[b'0'],[0.],[-33614.477],[1. 0.]
1410,[0],[b'0'],[0.],[-33074.113],[1. 0.]
1411,[0],[b'0'],[0.],[-28972.969],[1. 0.]
1412,[0],[b'0'],[0.],[-32567.447],[1. 0.]
1413,[0],[b'0'],[0.],[-32899.668],[1. 0.]
1414,[0],[b'0'],[0.],[-31071.459],[1. 0.]
1415,[0],[b'0'],[0.],[-31315.316],[1. 0.]
1416,[0],[b'0'],[0.],[-29538.047],[1. 0.]
1417,[0],[b'0'],[0.],[-30130.129],[1. 0.]
1418,[0],[b'0'],[0.],[-30931.035],[1. 0.]
1419,[0],[b'0'],[0.],[-31776.27],[1. 0.]
1420,[0],[b'0'],[0.],[-32095.842],[1. 0.]
1421,[0],[b'0'],[0.],[-32536.434],[1. 0.]
1422,[0],[b'0'],[0.],[-32853.664],[1. 0.]
1423,[0],[b'0'],[0.],[-31530.12],[1. 0.]
1424,[0],[b'0'],[0.],[-30826.35],[1. 0.]
1425,[0],[b'0'],[0.],[-33254.633],[1. 0.]
1426,[0],[b'0'],[0.],[-32489.324],[1. 0.]
1427,[0],[b'0'],[0.],[-32005.832],[1. 0.]
1428,[0],[b'0'],[0.],[-32599.809],[1. 0.]
1429,[0],[b'0'],[0.],[-31231.215],[1. 0.]
1430,[0],[b'0'],[0.],[-32413.395],[1. 0.]
1431,[0],[b'0'],[0.],[-33672.23],[1. 0.]
1432,[0],[b'0'],[0.],[-31663.006],[1. 0.]
1433,[0],[b'0'],[0.],[-30429.62],[1. 0.]
1434,[0],[b'0'],[0.],[-32371.941],[1. 0.]
1435,[0],[b'0'],[0.],[-30193.953],[1. 0.]
1436,[0],[b'0'],[0.],[-30110.992],[1. 0.]
1437,[0],[b'0'],[0.],[-30918.566],[1. 0.]
1438,[0],[b'0'],[0.],[-33185.79],[1. 0.]
1439,[0],[b'0'],[0.],[-31092.533],[1. 0.]
1440,[0],[b'0'],[0.],[-31819.463],[1. 0.]
1441,[0],[b'0'],[0.],[-32748.531],[1. 0.]
1442,[0],[b'0'],[0.],[-30532.277],[1. 0.]
1443,[0],[b'0'],[0.],[-32773.875],[1. 0.]
1444,[0],[b'0'],[0.],[-31517.37],[1. 0.]
1445,[0],[b'0'],[0.],[-31218.371],[1. 0.]
1446,[0],[b'0'],[0.],[-35893.293],[1. 0.]
1447,[0],[b'0'],[0.],[-28754.338],[1. 0.]
1448,[0],[b'0'],[0.],[-33456.605],[1. 0.]
1449,[0],[b'0'],[0.],[-32265.135],[1. 0.]
1450,[0],[b'0'],[0.],[-33465.258],[1. 0.]
1451,[0],[b'0'],[0.],[-33661.29],[1. 0.]
1452,[0],[b'0'],[0.],[-31658.49],[1. 0.]
1453,[0],[b'0'],[0.],[-33566.82],[1. 0.]
1454,[0],[b'0'],[0.],[-34509.766],[1. 0.]
1455,[0],[b'0'],[0.],[-32330.229],[1. 0.]
1456,[0],[b'0'],[0.],[-29499.504],[1. 0.]
1457,[0],[b'0'],[0.],[-31887.203],[1. 0.]
1458,[0],[b'0'],[0.],[-29368.969],[1. 0.]
1459,[0],[b'0'],[0.],[-32589.76],[1. 0.]
1460,[0],[b'0'],[0.],[-31280.938],[1. 0.]
1461,[0],[b'0'],[0.],[-31752.236],[1. 0.]
1462,[0],[b'0'],[0.],[-31342.76],[1. 0.]
1463,[0],[b'0'],[0.],[-31078.514],[1. 0.]
1464,[0],[b'0'],[0.],[-33865.99],[1. 0.]
1465,[0],[b'0'],[0.],[-36051.34],[1. 0.]
1466,[0],[b'0'],[0.],[-32484.135],[1. 0.]
1467,[0],[b'0'],[0.],[-32646.629],[1. 0.]
1468,[0],[b'0'],[0.],[-33582.484],[1. 0.]
1469,[0],[b'0'],[0.],[-29832.945],[1. 0.]
1470,[0],[b'0'],[0.],[-30616.832],[1. 0.]
1471,[0],[b'0'],[0.],[-29707.225],[1. 0.]
1472,[0],[b'0'],[0.],[-29968.064],[1. 0.]
1473,[0],[b'0'],[0.],[-32184.068],[1. 0.]
1474,[0],[b'0'],[0.],[-31970.414],[1. 0.]
1475,[0],[b'0'],[0.],[-30983.373],[1. 0.]
1476,[0],[b'0'],[0.],[-33388.703],[1. 0.]
1477,[0],[b'0'],[0.],[-30830.15],[1. 0.]
1478,[0],[b'0'],[0.],[-30486.822],[1. 0.]
1479,[0],[b'0'],[0.],[-31426.502],[1. 0.]
1480,[0],[b'0'],[0.],[-32966.695],[1. 0.]
1481,[0],[b'0'],[0.],[-31403.82],[1. 0.]
1482,[0],[b'0'],[0.],[-32018.455],[1. 0.]
1483,[0],[b'0'],[0.],[-33881.586],[1. 0.]
1484,[0],[b'0'],[0.],[-33939.902],[1. 0.]
1485,[0],[b'0'],[0.],[-32269.125],[1. 0.]
1486,[0],[b'0'],[0.],[-30241.61],[1. 0.]
1487,[0],[b'0'],[0.],[-31048.93],[1. 0.]
1488,[0],[b'0'],[0.],[-33287.266],[1. 0.]
1489,[0],[b'0'],[0.],[-31836.031],[1. 0.]
1490,[0],[b'0'],[0.],[-32094.256],[1. 0.]
1491,[0],[b'0'],[0.],[-31833.75],[1. 0.]
1492,[0],[b'0'],[0.],[-37989.766],[1. 0.]
1493,[0],[b'0'],[0.],[-31670.236],[1. 0.]
1494,[0],[b'0'],[0.],[-29872.207],[1. 0.]
1495,[0],[b'0'],[0.],[-30639.002],[1. 0.]
1496,[0],[b'0'],[0.],[-28988.72],[1. 0.]
1497,[0],[b'0'],[0.],[-32161.998],[1. 0.]
1498,[0],[b'0'],[0.],[-31491.527],[1. 0.]
1499,[0],[b'0'],[0.],[-29450.205],[1. 0.]
1500,[0],[b'0'],[0.],[-31079.275],[1. 0.]
1501,[0],[b'0'],[0.],[-29788.773],[1. 0.]
1502,[0],[b'0'],[0.],[-31264.896],[1. 0.]
1503,[0],[b'0'],[0.],[-32254.3],[1. 0.]
1504,[0],[b'0'],[0.],[-28222.684],[1. 0.]
1505,[0],[b'0'],[0.],[-32171.256],[1. 0.]
1506,[0],[b'0'],[0.],[-31652.91],[1. 0.]
1507,[0],[b'0'],[0.],[-29370.13],[1. 0.]
1508,[0],[b'0'],[0.],[-30471.152],[1. 0.]
1509,[0],[b'0'],[0.],[-33013.19],[1. 0.]
1510,[0],[b'0'],[0.],[-33305.453],[1. 0.]
1511,[0],[b'0'],[0.],[-32006.217],[1. 0.]
1512,[0],[b'0'],[0.],[-33069.332],[1. 0.]
1513,[0],[b'0'],[0.],[-29201.01],[1. 0.]
1514,[0],[b'0'],[0.],[-33416.016],[1. 0.]
1515,[0],[b'0'],[0.],[-32772.316],[1. 0.]
1516,[0],[b'0'],[0.],[-31932.379],[1. 0.]
1517,[0],[b'0'],[0.],[-32398.514],[1. 0.]
1518,[0],[b'0'],[0.],[-32298.043],[1. 0.]
1519,[0],[b'0'],[0.],[-31161.383],[1. 0.]
1520,[0],[b'0'],[0.],[-31214.89],[1. 0.]
1521,[0],[b'0'],[0.],[-33509.344],[1. 0.]
1522,[0],[b'0'],[0.],[-35671.96],[1. 0.]
1523,[0],[b'0'],[0.],[-32685.742],[1. 0.]
1524,[0],[b'0'],[0.],[-31651.29],[1. 0.]
1525,[0],[b'0'],[0.],[-31869.87],[1. 0.]
1526,[0],[b'0'],[0.],[-38795.04],[1. 0.]
1527,[0],[b'0'],[0.],[-31481.406],[1. 0.]
1528,[0],[b'0'],[0.],[-31477.07],[1. 0.]
1529,[0],[b'0'],[0.],[-32294.96],[1. 0.]
1530,[0],[b'0'],[0.],[-34575.31],[1. 0.]
1531,[0],[b'0'],[0.],[-29578.848],[1. 0.]
1532,[0],[b'0'],[0.],[-32095.188],[1. 0.]
1533,[0],[b'0'],[0.],[-34155.117],[1. 0.]
1534,[0],[b'0'],[0.],[-31343.865],[1. 0.]
1535,[0],[b'0'],[0.],[-30513.283],[1. 0.]
1536,[0],[b'0'],[0.],[-31688.26],[1. 0.]
1537,[0],[b'0'],[0.],[-32449.094],[1. 0.]
1538,[0],[b'0'],[0.],[-34060.953],[1. 0.]
1539,[0],[b'0'],[0.],[-31129.057],[1. 0.]
1540,[0],[b'0'],[0.],[-32044.297],[1. 0.]
1541,[0],[b'0'],[0.],[-33938.242],[1. 0.]
1542,[0],[b'0'],[0.],[-31438.486],[1. 0.]
1543,[0],[b'0'],[0.],[-32924.773],[1. 0.]
1544,[0],[b'0'],[0.],[-32267.02],[1. 0.]
1545,[0],[b'0'],[0.],[-28418.03],[1. 0.]
1546,[0],[b'0'],[0.],[-31671.008],[1. 0.]
1547,[0],[b'0'],[0.],[-31840.047],[1. 0.]
1548,[0],[b'0'],[0.],[-32470.697],[1. 0.]
1549,[0],[b'0'],[0.],[-33310.27],[1. 0.]
1550,[0],[b'0'],[0.],[-29955.045],[1. 0.]
1551,[0],[b'0'],[0.],[-33612.47],[1. 0.]
1552,[0],[b'0'],[0.],[-32629.668],[1. 0.]
1553,[0],[b'0'],[0.],[-32194.19],[1. 0.]
1554,[0],[b'0'],[0.],[-33131.047],[1. 0.]
1555,[0],[b'0'],[0.],[-32516.611],[1. 0.]
1556,[0],[b'0'],[0.],[-33855.848],[1. 0.]
1557,[0],[b'0'],[0.],[-31813.441],[1. 0.]
1558,[0],[b'0'],[0.],[-30021.607],[1. 0.]
1559,[0],[b'0'],[0.],[-32896.465],[1. 0.]
1560,[0],[b'0'],[0.],[-31980.031],[1. 0.]
1561,[0],[b'0'],[0.],[-31563.535],[1. 0.]
1562,[0],[b'0'],[0.],[-32566.312],[1. 0.]
1563,[0],[b'0'],[0.],[-32215.166],[1. 0.]
1564,[0],[b'0'],[0.],[-32401.781],[1. 0.]
1565,[0],[b'0'],[0.],[-30358.639],[1. 0.]
1566,[0],[b'0'],[0.],[-30781.537],[1. 0.]
1567,[0],[b'0'],[0.],[-35685.28],[1. 0.]
1568,[0],[b'0'],[0.],[-31878.852],[1. 0.]
1569,[0],[b'0'],[0.],[-31941.115],[1. 0.]
1570,[0],[b'0'],[0.],[-32753.457],[1. 0.]
1571,[0],[b'0'],[0.],[-34093.973],[1. 0.]
1572,[0],[b'0'],[0.],[-30685.229],[1. 0.]
1573,[0],[b'0'],[0.],[-31261.305],[1. 0.]
1574,[0],[b'0'],[0.],[-29676.812],[1. 0.]
1575,[0],[b'0'],[0.],[-33493.3],[1. 0.]
